"names","colors"
"Head In The Clouds","#88A7BB"
"Everything's Peachy","#E1CBE0"
"Turned down","#015F9D"
"Blissed out","#F2CFBB"
"Optic white","#FFFFFF"
"Rose quartz","#E7D9CA"
"Marsala","#E586A1"
"Picnic peach","#FED7CA"
"Cyber","#A4A1C0"
"High Tide","#9CD1E4"
"Pebble","#AEC1C8"
"Crystal Quartz","#DBE3DD"
"Party Trick","#91A188"
"Velvet Orchid","#A05D92"
"Perfect Red","#D30128"
"Barely There","#E0D2D1"
"Fools Gold","#D9BEA3"
"Indigo-go","#0068D1"
"Dark Horse","#4C1A1B"
"New Wave","#F5014B"
"Sage Anything","#BCB895"
"Haystack","#E2AD4D"
"Electric Petals","#EA65CC"
"Blazin","#FFAB6D"
"It's My Party","#C5B4B9"
"Blue Skies Ahead","#B1D3D5"
"April Showers","#B5C3E6"
"Malibu","#C4C47E"
"Cabana Fever","#C8ED6C"
"Matcha Maker","#ABEDB0"
"Silverlake","#C9B4B0"
"Dashing","#3046AC"
"Saucy","#BC504E"
"Siren","#B70129"
"Sun Bunny","#FFACCD"
"Night Moves","#9384A5"
"Envy","#29484A"
"Charcoal","#434751"
